Calories,Protein,Fat,Carbs,Meal,Course,Healthy,Special Nutrition,Cooking Methods,"time, mins",Vegetables,Fruits,Meat,Seafood,Mushrooms,Dairy,Grains,Nuts
159.0,7.0,13.0,5.0,3,0,0,2,9,25,1,0,0,0,0,1,0,0
103.0,2.0,10.0,1.0,3,0,0,2,2,15,0,0,1,0,0,1,0,0
156.0,3.0,13.0,3.0,3,0,0,2,0,5,0,0,1,0,0,0,0,0
133.0,6.0,11.0,12.0,4,1,1,2,0,25,0,0,0,0,0,0,0,0
280.0,2.0,12.0,42.0,4,1,0,2,0,160,0,0,0,0,0,0,0,1
125.0,2.0,0.0,30.0,4,4,0,2,9,11,0,0,1,0,0,0,0,0
101.0,2.0,9.0,9.0,4,1,0,2,5,40,0,0,0,0,0,0,0,0
307.0,9.0,24.0,26.0,4,1,0,2,2,47,0,0,0,0,0,0,0,0
265.0,4.0,12.0,38.0,0,6,0,2,0,10,0,1,0,0,0,1,1,1
244.0,3.0,14.0,29.0,4,1,0,2,0,30,0,1,0,0,0,1,1,0
359.0,7.0,2.0,90.0,3,1,1,0,4,20,0,1,0,0,0,0,0,0
157.0,2.0,9.0,19.0,2,1,0,2,10,310,0,1,0,0,0,0,0,0
399.0,30.0,10.0,45.0,4,5,0,2,0,320,1,0,1,0,0,0,0,0
447.0,6.0,27.0,46.0,4,1,0,2,0,20,0,0,0,0,0,1,0,0
305.0,2.0,23.0,19.0,4,1,0,2,2,5,0,0,0,0,0,1,0,0
71.0,2.0,3.0,10.0,4,1,0,2,0,30,0,0,0,0,0,1,1,0
154.0,4.0,6.0,21.0,4,6,0,2,5,10,1,0,0,0,0,1,1,0
181.0,3.0,10.0,21.0,4,1,0,2,0,20,0,0,0,0,0,0,1,0
152.0,4.0,14.0,9.0,3,0,0,2,2,40,0,0,0,0,0,0,1,1
355.0,6.0,19.0,41.0,4,1,0,2,0,50,0,0,0,0,0,1,1,0
651.0,29.0,20.0,74.0,4,2,0,1,0,30,1,0,0,0,0,1,1,0
483.0,7.0,26.0,54.0,4,1,0,2,0,5,0,1,0,0,0,1,1,0
105.0,5.0,9.0,6.0,4,1,1,2,0,15,0,0,0,0,0,0,0,0
190.0,2.0,8.0,30.0,4,1,0,2,0,145,0,0,0,0,0,0,0,0
314.0,23.0,19.0,14.0,2,5,0,2,2,30,0,0,1,0,0,1,0,0
361.0,12.0,28.0,17.0,4,3,0,2,1,15,1,0,0,0,0,0,0,0
363.0,36.0,4.0,48.0,4,5,0,2,1,45,1,0,1,0,0,0,0,0
316.0,4.0,20.0,32.0,4,1,0,2,5,275,0,1,0,0,0,1,0,0
421.0,16.0,32.0,19.0,3,0,0,2,5,50,1,0,0,0,0,1,0,0
199.0,1.0,21.0,3.0,4,6,0,2,6,5,1,1,0,0,0,0,0,0
272.0,21.0,9.0,30.0,2,5,0,2,1,25,1,0,1,0,0,0,1,0
367.0,25.0,10.0,51.0,4,5,0,2,1,30,1,0,1,0,0,1,0,0
449.0,5.0,19.0,65.0,4,1,0,2,0,45,0,0,0,0,0,1,1,0
382.0,20.0,25.0,18.0,4,3,0,2,6,30,1,0,1,0,0,1,0,0
940.0,43.0,83.0,1.0,4,2,0,2,8,25,0,0,1,0,0,0,0,0
549.0,6.0,25.0,76.0,4,1,0,2,0,0,0,0,0,0,0,0,1,0
1102.0,63.0,52.0,94.0,4,2,0,2,4,550,1,0,1,0,0,1,1,0
408.0,15.0,36.0,10.0,0,6,1,2,5,9,0,0,0,0,0,0,0,0
383.0,33.0,16.0,26.0,4,2,0,2,3,30,1,0,1,0,0,1,0,0
207.0,3.0,5.0,40.0,4,1,0,2,0,20,0,1,0,0,0,0,0,0
437.0,14.0,6.0,80.0,4,2,0,2,1,210,1,0,0,0,0,0,1,0
214.0,28.0,10.0,2.0,1,2,0,2,3,30,0,0,1,0,0,0,0,0
131.0,10.0,9.0,3.0,2,3,0,2,6,15,1,0,0,0,0,0,0,0
89.0,4.0,4.0,8.0,4,4,0,2,0,0,1,0,1,0,1,1,0,0
224.0,5.0,4.0,42.0,4,4,0,2,1,35,1,0,1,0,0,0,1,0
197.0,29.0,3.0,14.0,3,0,0,2,4,15,0,0,1,0,0,0,0,0
336.0,20.0,13.0,36.0,4,2,0,2,10,40,1,0,1,0,0,0,1,0
97.0,5.0,1.0,20.0,4,4,0,2,0,20,1,0,0,0,0,0,0,0
742.0,41.0,28.0,83.0,4,2,0,2,9,30,1,0,1,1,0,0,0,1
296.0,3.0,16.0,37.0,4,1,0,2,0,20,1,1,0,0,0,0,1,1
248.0,7.0,18.0,14.0,2,2,0,2,3,19,0,0,1,0,0,1,1,0
379.0,7.0,24.0,36.0,4,2,0,1,4,5,1,0,1,0,0,0,0,0
386.0,17.0,21.0,30.0,4,2,0,2,0,15,1,0,1,0,0,1,1,0
663.0,72.0,34.0,14.0,1,2,0,2,6,285,0,0,1,0,0,0,0,0
163.0,11.0,11.0,4.0,4,2,0,2,0,130,0,0,1,0,0,0,0,0
806.0,51.0,30.0,79.0,4,2,0,2,3,30,0,0,1,0,0,1,1,0
727.0,7.0,44.0,80.0,4,1,0,2,0,5,1,0,0,0,0,0,1,0
584.0,18.0,46.0,29.0,3,0,0,2,6,10,1,0,0,0,0,1,0,0
135.0,2.0,7.0,19.0,4,1,0,2,0,10,0,0,0,0,0,1,1,1
192.0,5.0,13.0,17.0,4,4,0,2,0,0,1,0,1,0,1,0,1,1
465.0,14.0,19.0,68.0,2,5,0,2,3,45,1,0,1,0,0,1,1,0
346.0,6.0,12.0,56.0,4,1,0,2,0,0,0,1,0,0,0,1,1,1
164.0,0.0,17.0,3.0,3,0,0,2,0,5,0,0,0,0,0,0,0,0
132.0,2.0,6.0,23.0,4,1,1,2,6,10,0,1,0,0,0,0,0,0
352.0,4.0,13.0,58.0,0,6,1,2,6,41,1,1,0,0,0,1,0,0
882.0,31.0,41.0,100.0,3,0,0,2,4,25,1,0,0,0,0,1,0,0
687.0,49.0,21.0,74.0,1,2,0,2,3,35,1,0,1,0,0,1,1,0
178.0,1.0,9.0,23.0,0,4,0,2,0,10,0,0,0,0,0,1,1,0
743.0,15.0,41.0,84.0,4,6,0,2,0,15,1,0,0,0,0,1,1,0
155.0,16.0,8.0,6.0,3,0,1,2,2,25,1,1,0,1,0,0,0,0
81.0,1.0,0.0,16.0,4,4,0,2,2,55,0,0,0,0,0,0,0,0
201.0,3.0,12.0,23.0,4,1,0,2,0,30,0,0,0,0,0,0,1,1
221.0,6.0,6.0,41.0,4,4,0,2,4,5,1,0,1,0,0,0,0,0
337.0,9.0,25.0,21.0,4,4,0,2,3,50,1,0,0,0,1,1,1,0
1019.0,66.0,66.0,42.0,4,2,0,2,0,40,1,1,0,1,0,1,1,0
104.0,0.0,11.0,2.0,2,4,1,2,6,10,1,0,0,0,0,0,0,0
470.0,18.0,25.0,42.0,4,6,0,2,1,25,1,0,0,0,1,1,0,0
500.0,36.0,30.0,16.0,4,2,0,2,7,40,1,0,0,1,0,0,1,0
594.0,13.0,42.0,44.0,2,5,0,2,10,45,1,0,1,0,0,1,1,0
244.0,11.0,13.0,22.0,3,0,0,2,0,35,1,0,0,0,0,1,0,0
93.0,3.0,9.0,1.0,2,4,0,2,4,10,0,0,0,0,0,1,0,0
241.0,3.0,14.0,28.0,4,1,0,2,0,20,0,0,0,0,0,1,1,0
551.0,4.0,13.0,108.0,0,1,1,2,6,10,0,1,0,0,0,0,0,0
556.0,22.0,52.0,3.0,4,2,0,2,0,30,1,1,0,1,0,0,0,0
487.0,7.0,9.0,99.0,4,1,0,2,1,505,0,1,0,0,0,0,1,0
132.0,1.0,7.0,16.0,4,1,0,2,0,45,0,0,0,0,0,0,0,0
189.0,2.0,6.0,36.0,4,4,1,2,0,5,1,0,0,0,0,0,0,0
503.0,10.0,20.0,67.0,4,4,0,2,5,4,1,0,0,0,0,1,1,0
332.0,8.0,18.0,40.0,4,2,0,1,3,40,1,1,0,0,0,1,1,0
633.0,12.0,35.0,80.0,4,4,0,2,6,10,1,0,0,0,0,0,1,1
343.0,17.0,12.0,45.0,4,6,0,2,0,20,1,0,1,0,0,0,0,0
389.0,32.0,16.0,28.0,3,2,1,2,4,25,1,0,1,0,0,1,0,0
177.0,9.0,3.0,30.0,4,6,1,2,3,530,1,0,0,0,0,0,0,0
537.0,18.0,8.0,100.0,4,4,0,2,3,275,1,1,0,0,0,0,1,0
243.0,17.0,3.0,40.0,4,5,1,2,1,40,1,1,0,0,0,0,0,0
451.0,25.0,29.0,27.0,2,4,0,2,3,31,1,0,1,0,0,0,0,0
251.0,4.0,8.0,44.0,0,6,0,2,0,50,0,1,0,0,0,0,1,1
362.0,2.0,28.0,17.0,4,4,0,2,4,5,0,1,0,0,0,0,0,0
715.0,30.0,31.0,78.0,4,6,0,2,0,190,0,0,0,0,0,1,1,0
517.0,44.0,34.0,5.0,4,2,0,2,1,50,1,0,1,0,0,0,0,0
482.0,30.0,21.0,44.0,4,2,0,2,5,40,0,0,1,0,0,0,1,0
342.0,38.0,19.0,4.0,4,2,0,2,4,30,0,0,1,0,0,0,0,0
198.0,28.0,7.0,3.0,4,6,0,2,9,45,1,0,0,0,0,0,0,0
241.0,20.0,7.0,24.0,4,2,0,2,3,50,1,0,1,0,0,1,0,0
332.0,31.0,19.0,7.0,2,3,0,2,6,20,1,0,1,0,1,1,0,0
506.0,34.0,16.0,57.0,4,2,0,2,9,130,1,0,1,0,0,1,0,0
378.0,9.0,8.0,71.0,4,2,1,1,9,39,1,1,0,0,0,0,1,1
138.0,9.0,7.0,12.0,4,5,1,2,9,0,1,0,0,1,0,0,0,0
600.0,64.0,33.0,13.0,4,2,0,2,3,0,1,1,1,0,0,0,0,0
231.0,7.0,4.0,43.0,4,5,0,2,10,405,1,0,0,0,0,0,1,0
373.0,27.0,25.0,9.0,4,2,0,2,3,55,1,0,1,0,0,1,0,0
297.0,5.0,13.0,43.0,4,1,0,2,0,40,0,1,0,0,0,0,1,0
180.0,1.0,0.0,46.0,4,6,0,2,2,5,0,1,0,0,0,0,0,0
384.0,10.0,10.0,66.0,4,6,0,2,2,15,1,1,0,0,0,1,0,0
481.0,50.0,19.0,33.0,4,2,0,2,6,25,1,1,0,1,0,0,0,0
203.0,34.0,6.0,3.0,2,3,1,2,6,20,1,0,0,1,0,0,0,1
191.0,28.0,6.0,4.0,4,2,1,2,6,20,1,0,0,1,0,0,0,1
312.0,22.0,10.0,34.0,4,2,0,2,5,55,1,0,0,1,0,1,0,0
475.0,35.0,14.0,53.0,4,2,0,2,6,55,1,1,0,1,0,0,1,0
904.0,54.0,55.0,48.0,2,2,0,2,3,15,1,0,1,0,0,1,1,0
556.0,37.0,29.0,35.0,2,2,0,2,3,35,0,0,1,0,0,1,1,0
132.0,2.0,3.0,26.0,0,6,0,2,3,50,0,1,0,0,0,0,1,0
238.0,2.0,7.0,44.0,4,1,0,2,3,35,0,1,0,0,0,0,1,0
325.0,2.0,15.0,48.0,4,1,0,2,3,40,0,1,0,0,0,0,1,1
710.0,7.0,24.0,120.0,4,1,0,2,3,35,0,1,0,0,0,0,1,1
